iter	Passed	Remaining
400	21469	32070
401	21520	32012
402	21572	31956
403	21621	31896
404	21676	31845
405	21728	31789
406	21782	31737
407	21837	31685
408	21895	31639
409	21947	31582
410	22003	31533
411	22059	31483
412	22116	31434
413	22170	31381
414	22225	31329
415	22278	31275
416	22331	31221
417	22381	31162
418	22442	31119
419	22498	31068
420	22550	31013
421	22603	30958
422	22660	30910
423	22715	30858
424	22770	30806
425	22822	30751
426	22876	30697
427	22927	30641
428	22981	30589
429	23035	30535
430	23088	30480
431	23139	30424
432	23194	30372
433	23249	30320
434	23305	30269
435	23356	30213
436	23409	30159
437	23475	30121
438	23526	30064
439	23580	30011
440	23633	29957
441	23690	29908
442	23749	29861
443	23803	29807
444	23853	29750
445	23906	29694
446	23956	29638
447	24006	29580
448	24063	29530
449	24117	29476
450	24168	29420
451	24221	29366
452	24272	29309
453	24323	29252
454	24374	29195
455	24431	29146
456	24487	29095
457	24535	29035
458	24584	28977
459	24638	28923
460	24690	28868
461	24746	28817
462	24798	28762
463	24849	28705
464	24899	28647
465	24957	28599
466	25010	28544
467	25064	28491
468	25117	28437
469	25172	28386
470	25230	28336
471	25280	28279
472	25336	28228
473	25389	28175
474	25444	28122
475	25495	28066
476	25546	28010
477	25601	27958
478	25657	27907
479	25709	27852
480	25762	27798
481	25815	27743
482	25877	27699
483	25943	27658
484	26000	27608
485	26064	27566
486	26124	27519
487	26179	27467
488	26237	27417
489	26301	27374
490	26367	27334
491	26436	27295
492	26519	27272
493	26586	27232
494	26643	27182
495	26699	27129
496	26756	27079
497	26813	27028
498	26870	26978
499	26935	26935
500	27003	26895
501	27061	26845
502	27114	26790
503	27174	26743
504	27231	26692
505	27292	26645
506	27347	26592
507	27412	26549
508	27477	26506
509	27533	26453
510	27588	26401
511	27650	26354
512	27708	26304
513	27760	26248
514	27817	26196
515	27870	26141
516	27920	26084
517	27975	26031
518	28030	25977
519	28078	25918
520	28132	25864
521	28182	25807
522	28235	25752
523	28292	25700
524	28344	25645
525	28397	25590
526	28451	25536
527	28505	25482
528	28558	25427
529	28611	25372
530	28663	25316
531	28716	25262
532	28770	25208
533	28823	25152
534	28874	25096
535	28923	25038
536	28971	24979
537	29020	24920
538	29069	24863
539	29117	24803
540	29167	24746
541	29216	24688
542	29270	24634
543	29320	24577
544	29370	24520
545	29419	24462
546	29473	24408
547	29522	24350
548	29577	24297
549	29629	24242
550	29680	24186
551	29738	24135
552	29796	24084
553	29846	24028
554	29896	23970
555	29946	23914
556	30001	23861
557	30055	23807
558	30113	23756
559	30177	23711
560	30231	23657
561	30283	23601
562	30337	23548
563	30391	23493
564	30446	23441
565	30497	23385
566	30552	23331
567	30605	23277
568	30657	23222
569	30708	23165
570	30761	23111
571	30816	23058
572	30869	23004
573	30920	22947
574	30969	22890
575	31025	22837
576	31074	22780
577	31129	22727
578	31181	22672
579	31232	22616
580	31282	22560
581	31334	22505
582	31384	22448
583	31435	22392
584	31487	22336
585	31537	22280
586	31588	22224
587	31639	22169
588	31694	22116
589	31781	22085
590	31835	22031
591	31884	21974
592	31948	21927
593	32001	21873
594	32052	21817
595	32104	21762
596	32157	21707
597	32210	21653
598	32258	21595
599	32312	21541
600	32367	21488
601	32426	21438
602	32482	21385
603	32536	21332
604	32592	21279
605	32646	21225
606	32710	21178
607	32767	21126
608	32841	21085
609	32891	21029
610	32939	20971
611	32993	20917
612	33046	20863
613	33099	20808
614	33153	20754
615	33206	20700
616	33260	20646
617	33312	20591
618	33363	20535
619	33417	20481
620	33471	20427
621	33522	20371
622	33576	20318
623	33627	20262
624	33678	20207
625	33732	20153
626	33783	20097
627	33833	20041
628	33891	19989
629	33940	19933
630	33990	19877
631	34046	19824
632	34095	19767
633	34148	19713
634	34199	19658
635	34253	19604
636	34303	19548
637	34354	19492
638	34410	19439
639	34468	19388
640	34533	19340
641	34598	19293
642	34666	19246
643	34728	19197
644	34783	19144
645	34845	19095
646	34898	19040
647	34953	18987
648	35007	18933
649	35059	18878
650	35108	18821
651	35165	18769
652	35220	18716
653	35272	18660
654	35325	18606
655	35378	18552
656	35432	18498
657	35486	18444
658	35537	18388
659	35587	18333
660	35639	18277
661	35691	18223
662	35744	18168
663	35795	18113
664	35846	18058
665	35901	18004
666	35954	17950
667	36006	17895
668	36055	17839
669	36107	17784
670	36159	17729
671	36212	17675
672	36264	17620
673	36313	17564
674	36366	17509
675	36421	17456
676	36472	17401
677	36527	17347
678	36577	17292
679	36629	17237
680	36686	17184
681	36737	17129
682	36792	17076
683	36844	17021
684	36897	16967
685	36952	16914
686	37004	16859
687	37056	16804
688	37109	16750
689	37160	16695
690	37210	16639
691	37263	16585
692	37313	16529
693	37363	16474
694	37418	16421
695	37472	16367
696	37525	16313
697	37577	16258
698	37629	16203
699	37684	16150
700	37739	16097
701	37790	16042
702	37845	15988
703	37896	15933
704	37951	15880
705	38004	15826
706	38054	15770
707	38106	15716
708	38158	15661
709	38210	15607
710	38262	15552
711	38310	15496
712	38360	15441
713	38415	15387
714	38467	15333
715	38517	15277
716	38569	15223
717	38620	15168
718	38671	15113
719	38723	15059
720	38773	15004
721	38823	14948
722	38877	14895
723	38930	14840
724	38982	14786
725	39036	14732
726	39088	14678
727	39141	14624
728	39191	14569
729	39241	14514
730	39293	14459
731	39348	14406
732	39403	14352
733	39453	14297
734	39509	14244
735	39565	14191
736	39618	14137
737	39670	14083
738	39720	14028
739	39774	13974
740	39827	13920
741	39879	13866
742	39932	13812
743	39982	13757
744	40036	13703
745	40087	13649
746	40142	13595
747	40193	13541
748	40243	13486
749	40295	13431
750	40347	13377
751	40399	13323
752	40453	13269
753	40506	13215
754	40557	13160
755	40608	13106
756	40660	13052
757	40713	12998
758	40764	12943
759	40815	12889
760	40865	12834
761	40938	12786
762	40988	12731
763	41038	12676
764	41089	12622
765	41144	12568
766	41192	12513
767	41246	12459
768	41295	12404
769	41348	12350
770	41405	12297
771	41456	12243
772	41510	12190
773	41579	12140
774	41631	12086
775	41686	12033
776	41741	11979
777	41794	11925
778	41849	11872
779	41903	11818
780	41955	11764
781	42009	11710
782	42063	11657
783	42117	11603
784	42170	11549
785	42218	11494
786	42267	11439
787	42319	11385
788	42371	11331
789	42426	11277
790	42479	11224
791	42531	11169
792	42583	11115
793	42635	11061
794	42687	11007
795	42738	10953
796	42795	10900
797	42850	10846
798	42904	10793
799	42957	10739
800	43008	10685
801	43060	10630
802	43118	10578
803	43170	10524
804	43224	10470
805	43279	10417
806	43333	10363
807	43386	10309
808	43438	10255
809	43489	10201
810	43541	10147
811	43591	10092
812	43641	10037
813	43691	9983
814	43745	9930
815	43796	9875
816	43845	9821
817	43896	9766
818	43947	9712
819	43996	9657
820	44049	9603
821	44103	9550
822	44154	9496
823	44202	9441
824	44251	9386
825	44299	9331
826	44348	9277
827	44401	9223
828	44448	9168
829	44497	9113
830	44546	9059
831	44595	9004
832	44647	8950
833	44699	8897
834	44752	8843
835	44803	8789
836	44857	8735
837	44911	8682
838	44961	8627
839	45011	8573
840	45063	8519
841	45116	8465
842	45167	8411
843	45267	8367
844	45321	8313
845	45376	8259
846	45431	8206
847	45483	8152
848	45535	8098
849	45587	8044
850	45645	7991
851	45695	7937
852	45747	7883
853	45799	7829
854	45850	7775
855	45903	7722
856	45954	7668
857	46006	7614
858	46058	7560
859	46109	7506
860	46160	7452
861	46211	7398
862	46264	7344
863	46317	7290
864	46370	7237
865	46425	7183
866	46479	7130
867	46532	7076
868	46585	7022
869	46642	6969
870	46692	6915
871	46744	6861
872	46795	6807
873	46846	6753
874	46897	6699
875	46947	6645
876	46999	6591
877	47055	6538
878	47109	6484
879	47160	6431
880	47215	6377
881	47266	6323
882	47345	6273
883	47396	6219
884	47450	6165
885	47505	6112
886	47560	6058
887	47619	6006
888	47706	5956
889	47758	5902
890	47805	5848
891	47857	5794
892	47922	5742
893	47975	5688
894	48030	5634
895	48082	5581
896	48133	5526
897	48186	5473
898	48238	5419
899	48292	5365
900	48348	5312
901	48403	5258
902	48454	5204
903	48507	5151
904	48558	5097
905	48613	5043
906	48667	4990
907	48721	4936
908	48774	4882
909	48827	4829
910	48880	4775
911	48935	4721
912	48988	4668
913	49038	4614
914	49089	4560
915	49141	4506
916	49189	4452
917	49239	4398
918	49291	4344
919	49344	4290
920	49392	4236
921	49443	4182
922	49496	4129
923	49544	4075
924	49596	4021
925	49647	3967
926	49699	3913
927	49756	3860
928	49807	3806
929	49857	3752
930	49908	3698
931	49959	3645
932	50011	3591
933	50065	3537
934	50115	3483
935	50166	3430
936	50216	3376
937	50266	3322
938	50317	3268
939	50368	3214
940	50420	3161
941	50470	3107
942	50519	3053
943	50571	3000
944	50622	2946
945	50673	2892
946	50725	2838
947	50775	2785
948	50826	2731
949	50876	2677
950	50925	2623
951	50974	2570
952	51028	2516
953	51079	2462
954	51127	2409
955	51176	2355
956	51226	2301
957	51275	2247
958	51329	2194
959	51379	2140
960	51428	2087
961	51478	2033
962	51531	1979
963	51594	1926
964	51645	1873
965	51694	1819
966	51746	1765
967	51798	1712
968	51846	1658
969	51894	1604
970	51943	1551
971	51996	1497
972	52048	1444
973	52099	1390
974	52151	1337
975	52199	1283
976	52247	1229
977	52300	1176
978	52354	1123
979	52402	1069
980	52454	1015
981	52504	962
982	52555	908
983	52610	855
984	52660	801
985	52709	748
986	52759	694
987	52807	641
988	52856	587
989	52908	534
990	52961	480
991	53016	427
992	53077	374
993	53147	320
994	53208	267
995	53266	213
996	53322	160
997	53377	106
998	53432	53
999	53485	0
