iter	Logloss
0	0.6786342333
1	0.6643679496
2	0.6485016429
3	0.6320833912
4	0.6161567826
5	0.602493256
6	0.5903033915
7	0.5785976726
8	0.5657924281
9	0.5525659373
10	0.5393990516
11	0.5280234218
12	0.516544901
13	0.5063107264
14	0.4964799257
15	0.4854606175
16	0.4742974396
17	0.4657214598
18	0.4578162231
19	0.4492226765
20	0.4406451688
21	0.4335408375
22	0.4258629375
23	0.4179227973
24	0.4109494409
25	0.4031974554
26	0.3959214278
27	0.3881301556
28	0.3830978831
29	0.3772826
30	0.3720175603
31	0.3654928498
32	0.3603724988
33	0.3559257267
34	0.3499142675
35	0.3451937933
36	0.3410143
37	0.3354394244
38	0.3300145252
39	0.3255122573
40	0.3211412973
41	0.3179778376
42	0.3136782634
43	0.3108097824
44	0.3069576151
45	0.3028741066
46	0.2993561848
47	0.2952075729
48	0.2913254573
49	0.2888340121
50	0.2851677836
51	0.2822694689
52	0.2787016992
53	0.2753879991
54	0.272514959
55	0.2704615201
56	0.2675576134
57	0.2651519434
58	0.2630765393
59	0.2598632493
60	0.2570180614
61	0.2542973464
62	0.2521803392
63	0.2499983198
64	0.2476523701
65	0.2460369283
66	0.2437672584
67	0.2415964955
68	0.239673704
69	0.2377165181
70	0.2357367014
71	0.2342285257
72	0.2323471963
73	0.2308675223
74	0.229086494
75	0.2268921699
76	0.2251634303
77	0.2228195167
78	0.2215738162
79	0.2202517517
80	0.2181733518
81	0.2166563521
82	0.2154447254
83	0.2141087226
84	0.2125897469
85	0.2115079918
86	0.2102875743
87	0.2085585842
88	0.2074564494
89	0.205964706
90	0.2045379818
91	0.203211678
92	0.2023254732
93	0.2009286855
94	0.2001363066
95	0.1989549719
96	0.1983372892
97	0.1972539887
98	0.1964332867
99	0.1954835979
100	0.1942741927
101	0.1931775313
102	0.1922343999
103	0.191309846
104	0.1904197461
105	0.1895547927
106	0.188153941
107	0.1870936577
108	0.1863259569
109	0.1852760959
110	0.1843366697
111	0.1836705617
112	0.1827718609
113	0.1822761267
114	0.181459138
115	0.1807187096
116	0.1799796597
117	0.1789890617
118	0.1783139768
119	0.1776211805
120	0.1771018782
121	0.1765643513
122	0.1758526746
123	0.1750076265
124	0.17436263
125	0.1734680664
126	0.173123707
127	0.1724991885
128	0.1720352305
129	0.1715123322
130	0.1708300038
131	0.1703190774
132	0.169921175
133	0.1691766713
134	0.1688101452
135	0.168153586
136	0.1676067437
137	0.1669895894
138	0.16655239
139	0.1659648684
140	0.1654223561
141	0.165022749
142	0.1645183042
143	0.1640379752
144	0.1637191593
145	0.1634078948
146	0.1628182693
147	0.1623444624
148	0.1620709621
149	0.1615200702
150	0.1610458098
151	0.1603454205
152	0.1598906549
153	0.1594551483
154	0.1590473154
155	0.1585515706
156	0.1581634367
157	0.1577350946
158	0.1573142264
159	0.1570603722
160	0.1567796915
161	0.1565165767
162	0.1561992194
163	0.1559794809
164	0.1556577616
165	0.1552230638
166	0.1547447962
167	0.1543078536
168	0.1538992783
169	0.153432632
170	0.1531209506
171	0.1527633234
172	0.1524105523
173	0.1521190068
174	0.1515364617
175	0.1512775092
176	0.150801722
177	0.1505747244
178	0.1502830077
179	0.1497258112
180	0.1495461531
181	0.1492172201
182	0.1489060356
183	0.1485543088
184	0.1482489984
185	0.1478277255
186	0.14769148
187	0.1474324903
188	0.1472269952
189	0.1470285313
190	0.1467912372
191	0.1464780299
192	0.1461852681
193	0.1460055761
194	0.1457453448
195	0.1454397312
196	0.1451247595
197	0.1446256308
198	0.1443742012
199	0.1441361025
200	0.143890497
201	0.1435757331
202	0.1433497211
203	0.1431472484
204	0.1429629061
205	0.142805416
206	0.1424944761
207	0.1422324029
208	0.1419840915
209	0.141642092
210	0.1413723618
211	0.1410995837
212	0.1408337636
213	0.1405992435
214	0.1404121799
215	0.140087687
216	0.1398410395
217	0.1396330816
218	0.139483163
219	0.1391512917
220	0.1388956177
221	0.1386755098
222	0.1385257902
223	0.1383462121
224	0.1382088743
225	0.1379477239
226	0.1377517786
227	0.1375221231
228	0.1372507467
229	0.137011804
230	0.136852284
231	0.1366515626
232	0.1364735731
233	0.1362558978
234	0.1360187027
235	0.1357321801
236	0.1355222395
237	0.1353188361
238	0.135058038
239	0.1348763642
240	0.134621649
241	0.1344565551
242	0.1342719369
243	0.1340047672
244	0.1337025887
245	0.1335158522
246	0.1333522476
247	0.1332651329
248	0.1330599305
249	0.132929888
250	0.1327033424
251	0.1325622682
252	0.1322161534
253	0.1319940429
254	0.1317224207
255	0.131587421
256	0.1315233785
257	0.1313935678
258	0.1312728951
259	0.1312015519
260	0.1310267327
261	0.1307262994
262	0.1304190436
263	0.1302195122
264	0.1300953907
265	0.1299741067
266	0.1298387888
267	0.129489875
268	0.1293758359
269	0.1291900421
270	0.1290472235
271	0.1289138924
272	0.1288186803
273	0.1287516234
274	0.1285730293
275	0.1283761803
276	0.1282318791
277	0.1278921991
278	0.1276827107
279	0.1276252716
280	0.127499617
281	0.1271508716
282	0.1269826615
283	0.126831643
284	0.1266618624
285	0.1265734397
286	0.1264185747
287	0.1262459941
288	0.1260128915
289	0.1257546139
290	0.1255939472
291	0.1252602328
292	0.1250393273
293	0.1248996683
294	0.1247563905
295	0.1245877611
296	0.1244792784
297	0.1243969288
298	0.1242225185
299	0.1239444637
300	0.1237568277
301	0.1235768077
302	0.1234090003
303	0.1232596239
304	0.1231114364
305	0.1230578083
306	0.1228591558
307	0.1227680713
308	0.1227039088
309	0.1225773204
310	0.12236957
311	0.1222868518
312	0.1221787335
313	0.1219947517
314	0.12192602
315	0.1217477713
316	0.1215096661
317	0.1214305548
318	0.1213066093
319	0.1212169997
320	0.1210462401
321	0.1208788401
322	0.1206967962
323	0.1205210425
324	0.1204296387
325	0.1202824733
326	0.120109391
327	0.1200004798
328	0.1198698727
329	0.119626963
330	0.119573168
331	0.1194140922
332	0.1191887473
333	0.1191422804
334	0.1190297081
335	0.1188261173
336	0.1187682483
337	0.1185460231
338	0.1184537339
339	0.1183041342
340	0.1181365852
341	0.1178873914
342	0.1178242657
343	0.1176311208
344	0.1174894333
345	0.1173685007
346	0.1172493142
347	0.117075349
348	0.1168516696
349	0.1166888403
350	0.1164625191
351	0.1163001181
352	0.1162380928
353	0.1161844637
354	0.116102893
355	0.1159837666
356	0.1158380609
357	0.1157865993
358	0.1156460676
359	0.1155319621
360	0.1154533313
361	0.1153074949
362	0.1150919408
363	0.1149843644
364	0.1147877029
365	0.1146809754
366	0.1145595918
367	0.1143839586
368	0.1143246068
369	0.1141666009
370	0.1140110537
371	0.1139356853
372	0.1138681424
373	0.1138296308
374	0.1137297101
375	0.1136663393
376	0.1135840043
377	0.1132828718
378	0.1131224424
379	0.1130898039
380	0.1130200933
381	0.1128163769
382	0.1126660414
383	0.1125372394
384	0.1123861632
385	0.1122661338
386	0.1120844763
387	0.1120402775
388	0.111959072
389	0.1119211868
390	0.1117046299
391	0.1115678332
392	0.1114287089
393	0.1113057891
394	0.1111663048
395	0.1110751446
396	0.1109502086
397	0.1107999818
398	0.1107502572
399	0.1106743632
400	0.1105421521
401	0.1104436208
402	0.1103119508
403	0.1101848722
404	0.1100821817
405	0.1100273833
406	0.1099067318
407	0.1097636416
408	0.1096533039
409	0.1095986295
410	0.1094660821
411	0.1094167096
412	0.1093165865
413	0.1091030046
414	0.1089667536
415	0.108840717
416	0.1087132398
417	0.1084888308
418	0.1084382263
419	0.1082039173
420	0.1081343212
421	0.1080642084
422	0.1078742823
423	0.1078267592
424	0.1076952273
425	0.1075454694
426	0.1074234784
427	0.107330187
428	0.1071982485
429	0.107067784
430	0.1069836446
431	0.1069259361
432	0.1068925525
433	0.1067509745
434	0.1066452849
435	0.106445211
436	0.1062897647
437	0.1061726255
438	0.1060685775
439	0.1059955449
440	0.1058684495
441	0.1058247368
442	0.1057200173
443	0.1055420378
444	0.1053972466
445	0.1052826406
446	0.1051264836
447	0.105063106
448	0.1049977596
449	0.104963161
450	0.1046833569
451	0.1045507813
452	0.104466018
453	0.1043503167
454	0.1042090189
455	0.1041097243
456	0.1040550396
457	0.1038734299
458	0.1038382407
459	0.1037884675
460	0.1036546696
461	0.1035852761
462	0.1034593534
463	0.1032941773
464	0.1031949289
465	0.103103049
466	0.1029477256
467	0.1027378849
468	0.1026887651
469	0.1024935764
470	0.1023856349
471	0.1022448589
472	0.1021976248
473	0.1021086697
474	0.1020626419
475	0.1019709396
476	0.1017938102
477	0.1016629177
478	0.1015486803
479	0.1015274181
480	0.1013708512
481	0.1012036015
482	0.1011582935
483	0.1009967303
484	0.1008387822
485	0.100773266
486	0.1006425849
487	0.1005542539
488	0.100497898
489	0.1004543533
490	0.1003341226
491	0.1001412758
492	0.1001061942
493	0.1000108685
494	0.09995490426
495	0.09972109261
496	0.09953226151
497	0.0993989498
498	0.09931763951
499	0.09925220773
500	0.09915857467
501	0.09898101514
502	0.09890770898
503	0.09872164934
504	0.09856838892
505	0.09845940865
506	0.09831486179
507	0.09819588356
508	0.09814173313
509	0.09795170774
510	0.09785163787
511	0.09778491632
512	0.09764284336
513	0.09759899092
514	0.09745269715
515	0.09733976975
516	0.0972704974
517	0.09719908863
518	0.09712256045
519	0.09694212469
520	0.09687967177
521	0.09677457748
522	0.09669519239
523	0.09660462142
524	0.09645625434
525	0.09630048978
526	0.09618080094
527	0.09610566659
528	0.09602522536
529	0.09593865176
530	0.0959033526
531	0.09582453768
532	0.09577740827
533	0.09568032747
534	0.09557791452
535	0.09550540235
536	0.09542805543
537	0.09540230993
538	0.09527667222
539	0.09525184939
540	0.09508606165
541	0.0950083201
542	0.09488877969
543	0.09478545372
544	0.09467132868
545	0.09460853981
546	0.09448697357
